#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
49,Armenia,"25,127",+482,433 ,+7,"13,297",+181,"11,397",10,"8,480",146,"110,571","37,314"
50,Israel,"24,441",+686,319  ,+1,"17,218",+144,"6,904",43,"2,657",35,"962,533","104,651"
51,Kazakhstan,"21,327",+547,188 ,+10,"13,008",+184,"8,131",121,"1,136",10,"1,467,556","78,164"
52,Japan,"18,476",+86,972 ,+1,"16,557",+52,947,43,146,8,"454,609","3,594"
53,Honduras,"18,082","+1,075",479 ,,"1,875",+108,"15,728",58,"1,826",48,"49,308","4,979"
54,Austria,"17,723",+69,703 ,+1,"16,420",+19,600,8,"1,968",78,"606,375","67,328"
55,Ghana,"17,351",+609,112 ,,"12,994",+274,"4,245",6,559,4,"294,867","9,492"
56,Azerbaijan,"16,968",+544,206 ,+8,"9,369",+343,"7,393",66,"1,674",20,"475,525","46,902"
57,Guatemala,"16,930",+533,727 ,+21,"3,152",+29,"13,051",5,945,41,"31,427","1,754"
58,Moldova,"16,357",+107,536 ,+6,"9,229",+148,"6,592",469,"4,055",133,"63,328","15,699"
59,Serbia,"14,288",+242,274 ,+4,"12,581",+117,"1,433",36,"1,635",31,"393,863","45,078"
60,Algeria,"13,571",+298,905 ,+8,"9,674",+303,"2,992",42,310,21,,
61,Nepal,"13,248",+476,29 ,+1,"3,134",+121,"10,085",,455,1.0,"521,501","17,901"
62,S. Korea,"12,757",+42,282 ,,"11,429",+65,"1,046",15,249,6,"1,259,954","24,575"
63,Denmark,"12,751",+76,605 ,+1,"11,612",+104,534,9,"2,201",104,"1,040,047","179,561"
64,Cameroon,"12,592",,313 ,,"10,100",,"2,179",52,475,12,,
65,Morocco,"12,290",+238,225 ,+4,"8,833",+93,"3,232",7,333,6,"662,814","17,959"
66,Czechia,"11,805",+202,348 ,,"7,746",+41,"3,711",29,"1,102",32,"545,973","50,983"
67,Sudan,"9,257",,572 ,,"4,014",,"4,671",,211,13,401,9
68,Ivory Coast,"9,214",+113,66 ,,"3,996",+188,"5,152",,349,3,"53,938","2,045"
69,Norway,"8,862",+7,249 ,,"8,138",,475,4,"1,635",46,"331,935","61,230"
70,Malaysia,"8,637",+3,121 ,,"8,334",+16,182,4,267,4,"756,171","23,365"
71,Uzbekistan,"8,222",+274,23 ,+1,"5,496",+167,"2,703",25,246,0.7,"1,121,236","33,504"
72,Australia,"7,767",+81,104 ,,"7,008",+29,655,1,305,4,"2,414,416","94,690"
73,Finland,"7,209",+11,328 ,,"6,600",,281,1,"1,301",59,"237,500","42,865"
74,DRC,"6,939",+112,167 ,+10,"1,050",+65,"5,722",,78,2,,
75,Senegal,"6,698",+112,108 ,+3,"4,341",+50,"2,249",27,400,6,"78,438","4,686"
76,North Macedonia,"6,209",+129,298 ,+12,"2,427",+112,"3,484",55,"2,980",143,"57,895","27,789"
77,Kenya,"6,190",+120,144 ,+1,"2,013",+42,"4,033",18,115,3,"167,417","3,114"
78,El Salvador,"6,173",+239,164 ,+12,"3,648",+91,"2,361",172,952,25,"160,216","24,701"
79,Tajikistan,"5,900",+51,52 ,,"4,506",+58,"1,342",,619,5,,
80,Haiti,"5,847",+70,104 ,+4,787,+81,"4,956",,513,9,"11,332",994
81,Ethiopia,"5,846",+157,103 ,+5,"2,430",+298,"3,313",35,51,0.9,"250,604","2,181"
82,Venezuela,"5,530",+233,48 ,+4,"1,649",,"3,833",9,194,2,"1,240,181","43,613"
83,Gabon,"5,394",+185,42 ,+2,"2,420",+93,"2,932",10,"2,424",19,"37,297","16,762"
84,Guinea,"5,351",+9,31 ,,"4,296",+14,"1,024",24,408,2,"14,407","1,097"
85,Kyrgyzstan,"5,017",+269,50 ,+3,"2,294",+52,"2,673",30,769,8,"212,112","32,516"
86,Bulgaria,"4,831",+140,223 ,+4,"2,582",+74,"2,026",31,695,32,"138,130","19,880"
87,Djibouti,"4,656",+13,53 ,+1,"4,433",+85,170,,"4,713",54,"46,108","46,673"
88,Bosnia and Herzegovina,"4,325",+390,184 ,+6,"2,366",+28,"1,775",4,"1,318",56,"91,792","27,979"
89,Luxembourg,"4,256",+14,110 ,,"3,997",+19,149,2,"6,800",176,"178,422","285,067"
90,Mauritania,"4,237",+88,128 ,+2,"1,497",+78,"2,612",21,912,28,"13,842","2,978"
91,Hungary,"4,145",+3,585 ,+4,"2,685",,875,9,429,61,"273,897","28,353"
92,French Guiana,"3,774",+313,15 ,+3,"1,352",+103,"2,407",27,"12,640",50,"8,061","26,998"
93,CAR,"3,613",+82,47 ,+2,773,+19,"2,793",2,748,10,"23,208","4,806"
94,Greece,"3,390",+14,191 ,,"1,374",,"1,825",10,325,18,"308,392","29,588"
95,Costa Rica,"3,269",+139,15 ,,"1,394",+28,"1,860",4,642,3,"38,500","7,558"
96,Thailand,"3,169",+7,58 ,,"3,053",,58,1,45,0.8,"468,175","6,707"
97,Somalia,"2,904",+10,90 ,,910,+23,"1,904",2,183,6,,
98,Croatia,"2,725",+34,107  ,,"2,155",+3,463,,664,26,"78,183","19,045"
99,Mayotte,"2,560",+52,32 ,,"2,325",+107,203,5,"9,386",117,"8,800","32,266"
100,Albania,"2,466",+64,58 ,+3,"1,438",+54,970,15,857,20,"23,283","8,091"
101,Cuba,"2,340",+8,86 ,,"2,211",+10,43,,207,8,"166,335","14,685"
102,Maldives,"2,337",+13,8 ,,"1,927",+16,402,9,"4,324",15,"49,338","91,289"
103,Paraguay,"2,191",+64,16 ,+1,"1,080",+15,"1,095",4,307,2,"68,027","9,538"
104,Palestine,"2,185",+195,5 ,+1,447,,"1,733",,428,1.0,"84,621","16,592"
105,Mali,"2,173",+26,115 ,+1,"1,447",+15,611,,107,6,"12,807",633
106,Nicaragua,"2,170",,74 ,,"1,238",,858,,328,11,,
107,Madagascar,"2,138",+60,20 ,+2,966,+22,"1,152",48,77,0.7,"21,444",775
108,Sri Lanka,"2,039",+2,11 ,,"1,678",+17,350,1,95,0.5,"101,226","4,727"
109,Equatorial Guinea,"2,001",,32 ,,515,,"1,454",,"1,427",23,"16,000","11,411"
110,South Sudan,"1,989",,36 ,,246,,"1,707",1,178,3,"10,226",914
111,Estonia,"1,987",,69 ,,"1,818",,100,1,"1,498",52,"106,022","79,924"
112,Iceland,"1,840",+2,10 ,,"1,818",+2,12,,"5,392",29,"74,424","218,101"
