#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
27,Egypt,"94,316",+238,"4,834 ",+29,"41,137","+1,499","48,345",41,920,47,"135,000","1,317"
28,Kazakhstan,"90,367","+1,289",793 ,,"60,825","+1,308","28,749",221,"4,808",42,"2,079,540","110,640"
29,Ecuador,"86,232",+877,"5,736 ",+34,"36,213",+169,"44,283",369,"4,881",325,"246,028","13,927"
30,Sweden,"80,422",,"5,743 ",,N/A,N/A,N/A,40,"7,959",568,"810,356","80,196"
31,Oman,"79,159",,421 ,,"61,421",,"17,317",187,"15,471",82,"305,651","59,736"
32,Bolivia,"76,789","+1,555","2,977 ",+83,"23,582",+277,"50,230",71,"6,571",255,"165,429","14,156"
33,Israel,"72,218","+1,248",526 ,+14,"45,102","+1,252","26,590",328,"7,852",57,"1,651,766","179,587"
34,Dominican Republic,"71,415","+1,766","1,170 ",+10,"37,509","+1,039","32,736",284,"6,578",108,"260,171","23,963"
35,Ukraine,"71,056","+1,172","1,709 ",+16,"39,308",+556,"30,039",124,"1,626",39,"1,046,080","23,933"
36,Belgium,"68,751",+745,"9,841 ",+1,"17,546",+33,"41,364",48,"5,930",849,"1,670,785","144,107"
37,Belarus,"67,946",+138,563 ,+4,"62,686",+242,"4,697",,"7,191",60,"1,309,823","138,620"
38,Kuwait,"67,448",+491,453 ,+6,"58,525",+593,"8,470",134,"15,774",106,"507,520","118,696"
39,Panama,"66,383","+1,127","1,449 ",+28,"40,081",+915,"24,853",166,"15,365",335,"226,596","52,448"
40,UAE,"60,760",+254,351 ,,"54,255",+346,"6,154",,"6,137",35,"5,119,652","517,113"
41,Netherlands,"54,732",+431,"6,148 ",+1,N/A,N/A,N/A,22,"3,194",359,"962,965","56,188"
42,Singapore,"52,512",+307,27 ,,"46,740",+249,"5,745",,"8,970",5,"1,321,094","225,662"
43,Romania,"52,111","+1,225","2,379 ",+36,"27,346",+339,"22,386",401,"2,710",124,"1,226,058","63,772"
44,Portugal,"51,310",+238,"1,737 ",+2,"36,783",+300,"12,790",40,"5,033",170,"1,622,951","159,207"
45,Guatemala,"50,979","+1,190","1,959 ",+35,"37,873","+1,057","11,147",5,"2,841",109,"160,626","8,952"
46,Poland,"46,346",+658,"1,721 ",+5,"34,374",+387,"10,251",74,"1,225",45,"2,273,553","60,079"
47,Nigeria,"43,537",+386,883 ,+4,"20,087",+522,"22,567",7,211,4,"283,916","1,375"
48,Honduras,"42,014",+588,"1,337 ",+25,"5,554",+111,"35,123",46,"4,236",135,"104,206","10,507"
49,Bahrain,"41,190",+208,147 ,,"38,211",+371,"2,832",43,"24,146",86,"835,211","489,614"
50,Armenia,"38,841",+291,749 ,+11,"29,557",+560,"8,535",10,"13,105",253,"165,656","55,894"
51,Ghana,"37,014","+1,513",182 ,,"33,365","+1,269","3,467",8,"1,189",6,"396,731","12,747"
52,Afghanistan,"36,710",+35,"1,283 ",+11,"25,509",,"9,918",31,941,33,"89,255","2,289"
53,Kyrgyzstan,"36,299",+494,"1,397 ",+19,"26,419","+1,382","8,483",24,"5,556",214,"267,718","40,979"
54,Japan,"35,836","+1,464","1,011 ",+5,"25,506",+577,"9,319",80,283,8,"824,748","6,523"
55,Switzerland,"35,412",+180,"1,981 ",,"31,300",+200,"2,131",25,"4,089",229,"797,933","92,139"
56,Azerbaijan,"32,157",+279,454 ,+6,"26,474",+592,"5,229",66,"3,169",45,"732,236","72,163"
57,Algeria,"30,950",+556,"1,223 ",+13,"20,988",+451,"8,739",64,705,28,,
58,Ireland,"26,109",+44,"1,763 ",,"23,364",,982,4,"5,283",357,"636,085","128,698"
59,Serbia,"25,882",+330,582 ,+9,"14,047",,"11,253",159,"2,963",67,"678,093","77,637"
60,Moldova,"25,113",+380,788 ,+10,"17,571",+302,"6,754",362,"6,227",195,"128,076","31,756"
61,Morocco,"25,015",+693,367 ,+14,"17,960",+302,"6,688",31,677,10,"1,273,939","34,480"
62,Uzbekistan,"24,783",+774,147 ,+6,"15,299",+835,"9,337",138,740,4,"1,377,915","41,120"
63,Kenya,"21,363",+727,364 ,+23,"8,419",+254,"12,580",44,397,7,"310,330","5,761"
64,Austria,"21,212",+82,718 ,,"18,911",+153,"1,583",19,"2,354",80,"897,819","99,637"
65,Nepal,"20,086",+315,56 ,,"14,492",+93,"5,538",,688,2,"694,892","23,815"
66,Venezuela,"19,443",+869,169 ,+5,"11,129",+708,"8,145",25,684,6,"1,545,895","54,378"
67,Costa Rica,"18,187",+367,154 ,+4,"4,531",+127,"13,502",94,"3,567",30,"88,861","17,430"
68,Ethiopia,"17,999",+469,284 ,+10,"7,195",+245,"10,520",138,156,2,"429,712","3,731"
69,Australia,"17,282",+377,201 ,+4,"10,202",+220,"6,879",50,677,8,"4,306,200","168,706"
70,Cameroon,"17,255",,391 ,,"15,320",,"1,544",30,649,15,"149,000","5,602"
71,El Salvador,"17,050",+418,459 ,+11,"8,495",+133,"8,096",485,"2,627",71,"241,359","37,195"
72,Czechia,"16,699",+291,383 ,+1,"11,587",+18,"4,729",19,"1,559",36,"698,635","65,227"
73,Ivory Coast,"16,109",+62,102 ,,"11,750",+322,"4,257",,610,4,"101,583","3,844"
74,S. Korea,"14,336",+31,301 ,,"13,233",+50,802,13,280,6,"1,571,830","30,656"
75,Denmark,"13,789",,615 ,,"12,578",,596,3,"2,380",106,"1,532,427","264,485"
76,Palestine,"12,160",+323,83 ,+1,"5,324",+247,"6,753",,"2,379",16,"155,355","30,398"
77,Bosnia and Herzegovina,"11,876",,339 ,,"5,959",,"5,578",,"3,622",103,"139,343","42,497"
78,Bulgaria,"11,836",+146,385 ,+2,"6,396",+77,"5,055",43,"1,705",55,"271,000","39,029"
79,Sudan,"11,738",+94,752 ,+6,"6,137",+18,"4,849",,267,17,401,9
80,Madagascar,"11,273",+405,107 ,+1,"8,109",+302,"3,057",103,406,4,"40,769","1,469"
81,North Macedonia,"10,891",+137,493 ,+7,"6,698",+144,"3,700",3,"5,228",237,"103,938","49,889"
82,Senegal,"10,284",+52,209 ,+4,"6,822",+46,"3,253",42,613,12,"108,664","6,477"
83,Norway,"9,253",+13,255  ,,"8,752",,246,1,"1,706",47,"445,946","82,204"
84,DRC,"9,084",+14,215 ,,"7,030",+234,"1,839",,101,2,,
85,Malaysia,"8,985",+9,125 ,,"8,647",+3,213,2,277,4,"970,644","29,957"
86,French Guiana,"7,857",+58,43 ,,"6,531",+145,"1,283",25,"26,253",144,"39,369","131,546"
87,Gabon,"7,531",+179,50 ,+1,"5,223",+280,"2,258",11,"3,377",22,"79,255","35,543"
88,Tajikistan,"7,451",+42,60 ,,"6,233",+40,"1,158",,780,6,,
89,Finland,"7,443",+11,329 ,,"6,950",,164,,"1,343",59,"365,981","66,044"
90,Haiti,"7,424",+12,161 ,,"4,606",+139,"2,657",,650,14,"17,839","1,563"
91,Guinea,"7,308",,46 ,,"6,458",,804,24,555,3,"14,407","1,095"
92,Luxembourg,"6,793",+98,116 ,+2,"5,192",,"1,485",7,"10,837",185,"588,965","939,618"
93,Mauritania,"6,319",+9,157 ,,"5,043",+81,"1,119",3,"1,356",34,"57,253","12,289"
94,Zambia,"6,228",+265,165 ,+14,"4,130",+327,"1,933",,338,9,"83,093","4,510"
95,Paraguay,"5,485",+147,52 ,+3,"3,786",+238,"1,647",12,768,7,"128,709","18,027"
96,Albania,"5,396",+120,161 ,+4,"2,961",+9,"2,274",16,"1,875",56,"37,503","13,033"
97,Croatia,"5,224",+86,145 ,,"4,341",+74,738,9,"1,273",35,"120,336","29,329"
98,Djibouti,"5,084",,58 ,,"4,999",,27,,"5,140",59,"56,721","57,341"
99,Equatorial Guinea,"4,821",,83 ,,"2,182",,"2,556",,"3,428",59,"44,356","31,539"
100,Lebanon,"4,730",+175,61 ,,"1,761",,"2,908",34,693,9,"310,851","45,562"
101,CAR,"4,614",+6,59 ,,"1,635",+29,"2,920",2,954,12,"29,533","6,106"
102,Greece,"4,587",+110,206 ,,"1,374",,"3,007",9,440,20,"539,493","51,783"
103,Hungary,"4,526",+21,597 ,+1,"3,364",+11,565,6,469,62,"342,887","35,502"
104,Malawi,"4,186",+108,120 ,+6,"1,914",+39,"2,152",4,218,6,"29,599","1,544"
105,Maldives,"3,949",+156,17 ,+1,"2,613",+6,"1,319",12,"7,295",31,"79,817","147,449"
106,Libya,"3,691",+70,80 ,+6,619,+1,"2,992",,537,12,"52,711","7,663"
107,Nicaragua,"3,672",,116 ,,"2,492",,"1,064",,554,17,,
108,Zimbabwe,"3,659",+490,69 ,+2,"1,011",+7,"2,579",,246,5,"132,593","8,910"
109,Hong Kong,"3,397",+124,33 ,+6,"1,858",+107,"1,506",34,453,4,"593,962","79,172"
110,Thailand,"3,312",+2,58 ,,"3,135",+10,119,1,47,0.8,"717,814","10,282"
111,Somalia,"3,212",,93 ,,"1,562",,"1,557",2,202,6,,
112,Congo,"3,200",,54 ,,829,,"2,317",,579,10,,
113,Montenegro,"3,198",+86,50 ,+1,"1,293",+220,"1,855",,"5,092",80,"36,321","57,829"
114,Mayotte,"2,962",,39 ,,"2,721",,202,1,"10,837",143,"13,000","47,562"
115,Sri Lanka,"2,815",,11 ,,"2,439",+48,365,1,131,0.5,"160,226","7,480"
116,Eswatini,"2,706",+58,43 ,+2,"1,214",,"1,449",5,"2,330",37,"20,784","17,899"
117,Cuba,"2,633",+25,87 ,,"2,367",+12,179,1,232,8,"267,649","23,631"
118,Mali,"2,535",,124 ,,"1,937",,474,,125,6,"22,693","1,118"
119,Cabo Verde,"2,480",+29,24 ,+1,"1,837",+13,619,,"4,456",43,"41,634","74,814"
120,South Sudan,"2,352",+30,46 ,,"1,175",,"1,131",,210,4,"12,044","1,075"
121,Slovakia,"2,337",+45,29 ,,"1,742",+47,566,1,428,5,"264,446","48,434"
122,Namibia,"2,224",+95,11 ,+1,171,+5,"2,042",24,874,4,"26,344","10,353"
123,Slovenia,"2,171",+15,119 ,,"1,821",+24,231,3,"1,044",57,"132,421","63,696"
124,Lithuania,"2,093",+18,80 ,,"1,644",,369,6,770,29,"524,483","192,921"
125,Estonia,"2,072",+8,69 ,,"1,934",+4,69,,"1,562",52,"119,742","90,261"
126,Rwanda,"2,042",+20,5 ,,"1,119",+13,918,,157,0.4,"269,261","20,749"
127,Guinea-Bissau,"1,981",,27 ,+1,803,,"1,151",5,"1,005",14,"1,500",761
128,Mozambique,"1,907",+43,12 ,+1,645,+4,"1,250",,61,0.4,"58,991","1,883"
129,Iceland,"1,893",+8,10 ,,"1,825",,58,,"5,544",29,"135,796","397,721"
130,Sierra Leone,"1,823",,67 ,,"1,362",,394,,228,8,,
131,Benin,"1,805",,36 ,,"1,036",,733,1,149,3,"85,863","7,068"
132,Suriname,"1,760",+110,26 ,,"1,161",+81,573,12,"2,998",44,"1,619","2,758"
133,Yemen,"1,730",+2,494 ,+1,862,,374,,58,17,120,4
134,New Zealand,"1,562",+2,22 ,,"1,518",,22,,312,4,"468,068","93,574"
135,Tunisia,"1,552",+17,51 ,+1,"1,217",+22,284,3,131,4,"95,858","8,104"
136,Uruguay,"1,278",+14,35 ,,"1,004",+10,239,5,368,10,"115,200","33,153"
137,Latvia,"1,238",+7,32 ,,"1,052",,154,,657,17,"199,956","106,121"
138,Jordan,"1,208",+15,11 ,,"1,094",+10,103,3,118,1,"603,237","59,073"
139,Liberia,"1,189",+3,75 ,,673,+3,441,,235,15,,
140,Uganda,"1,176",+22,4 ,+1,"1,045",+17,127,,26,0.09,"275,355","6,006"
141,Georgia,"1,171",+3,17 ,,947,+7,207,5,294,4,"225,145","56,449"
142,Angola,"1,164",+16,54 ,+2,460,+23,650,5,35,2,"64,109","1,946"
143,Burkina Faso,"1,143",+37,53 ,,935,,155,,55,3,,
144,Niger,"1,136",+2,69 ,,"1,028",,39,,47,3,"9,052",373
145,Cyprus,"1,124",+5,19 ,,852,,253,,930,16,"196,479","162,632"
146,Togo,958,+17,19 ,,647,+6,292,2,116,2,"42,926","5,176"
147,Chad,936,,75 ,,813,,48,,57,5,,
148,Andorra,925,,52 ,,807,,66,,"11,970",673,"3,750","48,527"
149,Jamaica,878,+14,10 ,,726,+2,142,,296,3,"38,733","13,075"
150,Sao Tome and Principe,874,+3,15 ,,782,+4,77,,"3,982",68,"2,940","13,395"
151,Malta,845,+21,9 ,,665,,171,,"1,913",20,"128,747","291,516"
152,Botswana,804,,2 ,,63,,739,1,341,0.8,"68,423","29,049"
153,Syria,780,+23,43 ,,237,,500,,44,2,,
154,Diamond Princess,712,,13 ,,651,,48,4,,,,
155,Lesotho,702,+98,14 ,+1,171,+27,517,,327,7,"8,606","4,015"
156,San Marino,699,,42 ,,657,,0,,"20,597","1,238","6,068","178,802"
157,Réunion,664,+4,4 ,,592,,68,4,741,4,"35,419","39,536"
158,Bahamas,599,+25,14 ,,91,,494,1,"1,522",36,"4,361","11,081"
159,Vietnam,590,+44,3 ,+1,373,,214,,6,0.03,"430,000","4,414"
160,Channel Islands,587,,47 ,,533,,7,,"3,374",270,"30,721","176,557"
161,Tanzania,509,,21 ,,183,,305,7,9,0.4,,
162,Gambia,498,,9 ,,68,,421,,206,4,"4,859","2,006"
163,Taiwan,474,+7,7 ,,441,,26,,20,0.3,"81,826","3,435"
164,Guyana,430,+17,20 ,,185,,225,3,546,25,"4,801","6,101"
165,Burundi,395,+8,1 ,,304,,90,,33,0.08,"15,614","1,310"
166,Comoros,386,+8,7 ,,330,,49,,443,8,,
167,Myanmar,353,,6 ,,297,+1,50,,6,0.1,"117,219","2,153"
168,Mauritius,344,,10 ,,332,,2,,270,8,"205,285","161,393"
169,Isle of Man,336,,24 ,,312,,0,,"3,950",282,"8,239","96,847"
170,Mongolia,291,, ,,230,+5,61,3,89,,"35,783","10,901"
171,Eritrea,279,, ,,225,,54,,79,,,
172,Martinique,269,,15 ,,98,,156,4,717,40,"12,227","32,585"
173,Guadeloupe,265,,14 ,,179,,72,,662,35,"17,003","42,494"
174,Cambodia,239,+5, ,,164,,75,1,14,,"64,597","3,859"
175,Faeroe Islands,225,, ,,189,,36,1,"4,603",,"37,550","768,224"
176,Cayman Islands,203,,1 ,,202,,0,,"3,086",15,"30,122","457,872"
177,Gibraltar,188,+1, ,,182,+1,6,,"5,580",,"21,560","639,953"
178,Trinidad and Tobago,173,+4,8 ,,132,,33,,124,6,"7,950","5,679"
179,Bermuda,156,,9 ,,141,,6,,"2,506",145,"20,962","336,701"
180,Brunei ,141,,3 ,,138,,0,,322,7,"40,202","91,820"
181,Sint Maarten,128,,15 ,,64,,49,,"2,983",350,857,"19,969"
182,Barbados,122,+12,7 ,,98,+2,17,,424,24,"11,288","39,275"
183,Aruba,121,,3 ,,105,,13,,"1,133",28,"11,449","107,194"
184,Monaco,120,,4 ,,105,,11,,"3,056",102,"38,209","973,081"
185,Turks and Caicos,114,+7,2 ,,38,+1,74,3,"2,941",52,"1,216","31,372"
186,Seychelles,114,, ,,39,,75,,"1,159",,,
187,Bhutan,101,, ,,89,+1,12,,131,,"44,534","57,662"
188,Antigua and Barbuda,91,,3 ,,67,,21,1,929,31,"1,387","14,153"
189,Papua New Guinea,91,+19,2 ,,34,+23,55,,10,0.2,"10,200","1,138"
190,Liechtenstein,88,,1 ,,85,,2,,"2,307",26,900,"23,599"
191,French Polynesia,62,, ,,62,,0,,221,,"5,390","19,178"
192,St. Vincent Grenadines,54,, ,,44,,10,,487,,"1,866","16,815"
193,Saint Martin,53,,3 ,,41,,9,1,"1,369",77,"1,080","27,893"
194,Belize,48,,2 ,,30,+3,16,,121,5,"3,439","8,636"
195,Macao,46,, ,,46,,0,,71,,"4,071","6,262"
196,Curaçao,29,,1 ,,24,,4,,177,6,"1,080","6,579"
197,Fiji,27,,1 ,,18,,8,,30,1,"6,693","7,461"
198,Saint Lucia,25,, ,,22,,3,,136,,"3,348","18,225"
199,Grenada,24,, ,,23,,1,,213,,"6,252","55,539"
200,Timor-Leste,24,, ,,24,,0,,18,,"1,568","1,187"
201,New Caledonia,22,, ,,22,,0,,77,,"10,186","35,649"
202,Laos,20,, ,,19,,1,,3,,"27,106","3,721"
203,Dominica,18,, ,,18,,0,,250,,"1,005","13,958"
204,Saint Kitts and Nevis,17,, ,,16,,1,,319,,"1,026","19,274"
205,Greenland,14,, ,,13,,1,,247,,"5,856","103,137"
206,Falkland Islands,13,, ,,13,,0,,"3,727",,"1,816","520,642"
207,Montserrat,12,,1 ,,10,,1,,"2,404",200,61,"12,220"
208,Vatican City,12,, ,,12,,0,,"14,981",,,
209,Caribbean Netherlands,11,, ,,7,,4,,419,,424,"16,156"
210,Western Sahara,10,,1 ,,8,,1,,17,2,,
211,MS Zaandam,9,,2 ,,,,7,,,,,
212,British Virgin Islands,8,,1 ,,7,,0,,264,33,"1,253","41,424"
213,St. Barth,8,, ,,6,,2,,810,,"1,246","126,113"
214,Saint Pierre Miquelon,4,, ,,1,,3,,691,,,
215,Anguilla,3,, ,,3,,0,,200,,380,"25,310"
