#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
,Asia,"4,374,857","+80,236","98,096","+1,379","3,238,462","+71,228","1,038,299","19,003",,,,
,North America,"5,588,758","+72,729","220,528","+1,930","2,888,671","+45,512","2,479,559","26,045",,,,
,South America,"4,190,728","+71,578","145,541","+1,718","2,836,204","+16,556","1,208,983","14,322",,,,
,Europe,"2,885,567","+13,805","203,598",+278,"1,741,948","+12,810","940,021","5,123",,,,
,Africa,"948,730","+16,953","20,018",+292,"606,320","+22,655","322,392","1,151",,,,
,Oceania,"19,046",+398,226,+4,"11,856",+243,"6,964",50,,,,
,World,"18,008,407","+255,699","688,022","+5,601","11,324,112","+169,004","5,996,273","65,698","2,310",88.3,,
1,China,"84,336",+44,"4,634 ",,"78,989",+15,713,39,59,3,"90,410,000","62,814"
2,USA,"4,764,318","+58,429","157,898 ","+1,123","2,362,903","+35,331","2,243,517","18,720","14,386",477,"59,226,909","178,841"
3,Brazil,"2,708,876","+42,578","93,616 ","+1,048","1,884,051",,"731,209","8,318","12,736",440,"13,096,132","61,574"
4,India,"1,751,919","+54,865","37,403 ",+852,"1,146,879","+51,232","567,637","8,944","1,268",27,"19,358,659","14,016"
5,Russia,"845,443","+5,462","14,058 ",+95,"646,524","+8,114","184,861","2,300","5,793",96,"28,478,012","195,135"
6,South Africa,"503,290","+10,107","8,153 ",+148,"342,461","+16,290","152,676",539,"8,477",137,"3,001,985","50,563"
7,Mexico,"424,637","+8,458","46,688 ",+688,"278,618","+6,431","99,331","3,985","3,291",362,"984,288","7,627"
8,Peru,"422,183","+7,448","19,408 ",+191,"290,835","+3,708","111,940","1,416","12,790",588,"2,377,948","72,037"
9,Chile,"357,658","+1,991","9,533 ",+76,"330,507","+2,180","17,618","1,445","18,696",498,"1,648,390","86,167"
10,Spain,"335,602",,"28,445 ",,N/A,N/A,N/A,617,"7,178",608,"6,678,414","142,834"
11,Iran,"306,752","+2,548","16,982 ",+216,"265,830","+2,311","23,940","4,011","3,648",202,"2,482,553","29,525"
12,Colombia,"306,181","+10,673","10,330 ",+225,"160,708","+6,321","135,143","1,493","6,012",203,"1,609,729","31,607"
13,UK,"303,952",+771,"46,193 ",+74,N/A,N/A,N/A,86,"4,475",680,"16,280,223","239,707"
14,Pakistan,"279,146",+841,"5,970 ",+19,"248,027",+850,"25,149","1,146","1,262",27,"1,996,167","9,023"
15,Saudi Arabia,"277,478","+1,573","2,887 ",+21,"237,548","+1,890","37,043","2,016","7,960",83,"3,395,688","97,413"
16,Italy,"247,832",+295,"35,146 ",+5,"200,229",+255,"12,457",43,"4,100",581,"6,873,496","113,698"
17,Bangladesh,"239,860","+2,199","3,132 ",+21,"136,253","+1,117","100,475",1,"1,455",19,"1,185,611","7,193"
18,Turkey,"231,869",+996,"5,710 ",+19,"215,516",+981,"10,643",586,"2,747",68,"4,845,669","57,402"
19,Germany,"211,077",+412,"9,226 ",+2,"193,600","+1,300","8,251",261,"2,519",110,"8,006,135","95,530"
20,Argentina,"196,543","+5,241","3,596 ",+53,"86,499","+2,719","106,448","1,128","4,345",80,"722,950","15,983"
21,France,"187,919",,"30,265 ",,"81,500",,"76,154",371,"2,878",464,"2,982,302","45,680"
22,Iraq,"126,704","+2,095","4,805 ",+64,"89,275","+1,841","32,624",463,"3,145",119,"1,014,760","25,184"
23,Canada,"116,599",+287,"8,941 ",+6,"101,436",+209,"6,222","2,249","3,087",237,"4,098,752","108,517"
24,Qatar,"110,911",+216,174 ,,"107,578",+201,"3,159",75,"39,501",62,"498,666","177,600"
25,Indonesia,"109,936","+1,560","5,193 ",+62,"67,919","+2,012","36,824",,402,19,"1,517,381","5,543"
26,Philippines,"98,153","+4,884","2,039 ",+17,"65,257",+85,"30,857",351,895,19,"1,534,319","13,986"
