#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
25,Belgium,"61,295",+86,"9,732 ",,"16,941",,"34,622",35,"5,289",840,"1,191,959","102,850"
26,Argentina,"57,744",,"1,217 ",+10,"20,134",+991,"36,393",457,"1,278",27,"336,951","7,456"
27,Ecuador,"54,574",,"4,424 ",,"26,920",,"23,230",288,"3,094",251,"144,751","8,206"
28,Indonesia,"54,010","+1,198","2,754 ",+34,"22,936","+1,027","28,320",,197,10,"770,600","2,818"
29,Netherlands,"50,147",+73,"6,105 ",,N/A,N/A,N/A,29,"2,927",356,"577,437","33,700"
30,UAE,"47,360",,311 ,,"35,834",,"11,215",1,"4,789",31,"3,136,000","317,119"
31,Iraq,"45,402","+2,140","1,756 ",+96,"21,122","+1,184","22,524",324,"1,129",44,"520,948","12,957"
32,Kuwait,"44,942",+551,348 ,+4,"35,494",+908,"9,100",149,"10,526",82,"379,338","88,843"
33,Singapore,"43,459",+213,26 ,,"37,163",,"6,270",1,"7,429",4,"684,359","116,986"
34,Ukraine,"42,982",+917,"1,129 ",+19,"18,934",+233,"22,919",386,983,26,"641,911","14,677"
35,Portugal,"41,189",,"1,561 ",,"26,864",,"12,764",67,"4,039",153,"1,102,066","108,079"
36,Oman,"38,150","+1,197",163 ,+4,"21,200",+837,"16,787",118,"7,474",32,"182,753","35,804"
37,Philippines,"35,455",+652,"1,244 ",+8,"9,686",+256,"24,525",149,324,11,"689,900","6,297"
38,Poland,"33,907",+193,"1,438 ",+3,"20,548",+576,"11,921",83,896,38,"1,493,993","39,475"
39,Switzerland,"31,617",+62,"1,962 ",,"29,100",,555,11,"3,653",227,"562,909","65,046"
40,Afghanistan,"30,967",+351,721 ,+18,"12,604","+1,930","17,642",19,796,19,"70,788","1,819"
41,Bolivia,"30,676","+1,253",970 ,+36,"8,158",+422,"21,548",71,"2,628",83,"70,872","6,072"
42,Panama,"30,658",,592 ,,"15,370",,"14,696",148,"7,107",137,"122,668","28,436"
43,Dominican Republic,"30,619",,718 ,,"16,666",,"13,235",198,"2,823",66,"142,340","13,123"
44,Romania,"26,313",+291,"1,612 ",+23,"18,814",+284,"5,887",217,"1,368",84,"694,909","36,122"
45,Ireland,"25,437",,"1,734 ",,"23,364",,339,12,"5,152",351,"419,021","84,871"
46,Bahrain,"25,267",,78 ,,"19,781",,"5,408",42,"14,861",46,"529,242","311,288"
47,Armenia,"24,645",+736,426 ,+5,"13,116",+205,"11,103",10,"8,317",144,"109,173","36,843"
48,Nigeria,"24,077",,558 ,,"8,625",,"14,894",7,117,3,"127,158",617
49,Israel,"23,497",+76,318 ,+1,"17,019",+17,"6,160",45,"2,555",35,"949,012","103,181"
50,Kazakhstan,"20,780",+461,173 ,+7,"12,824",+86,"7,783",121,"1,107",9,"1,467,556","78,169"
51,Japan,"18,297",,971 ,,"16,452",,874,48,145,8,"446,589","3,531"
52,Austria,"17,654",+74,702 ,+2,"16,401",+30,551,9,"1,960",78,"602,520","66,902"
53,Honduras,"17,007","+1,013",479 ,+8,"1,767",+89,"14,761",13,"1,717",48,"21,540","2,175"
54,Ghana,"16,431",,103 ,,"12,257",,"4,071",6,529,3,"288,465","9,287"
55,Guatemala,"16,397",+569,706 ,+34,"3,123",+95,"12,568",5,915,39,"31,427","1,755"
56,Moldova,"16,250",+170,530 ,+9,"9,081",+118,"6,639",469,"4,028",131,"63,328","15,699"
57,Azerbaijan,"15,890",,193 ,,"8,719",,"6,978",66,"1,567",19,"461,861","45,556"
58,Serbia,"14,046",+254,270 ,+3,"12,464",+126,"1,312",31,"1,608",31,"385,713","44,145"
59,Algeria,"12,968",,892 ,,"9,202",,"2,874",48,296,20,,
60,Nepal,"12,772",+463,28 ,,"3,013",+179,"9,731",,438,1.0,"512,605","17,598"
61,S. Korea,"12,715",+62,282 ,,"11,364",+47,"1,069",15,248,6,"1,251,695","24,414"
62,Denmark,"12,675",,604 ,,"11,508",,563,11,"2,188",104,"998,736","172,432"
63,Cameroon,"12,592",,313 ,,"10,100",,"2,179",52,475,12,,
64,Morocco,"11,986",+109,220 ,,"8,730",+7,"3,036",7,325,6,"639,944","17,340"
65,Czechia,"11,306",+8,347 ,,"7,682",,"3,277",10,"1,056",32,"543,925","50,792"
66,Sudan,"9,257",,572 ,,"4,014",,"4,671",,211,13,401,9
67,Ivory Coast,"8,944",,66 ,,"3,722",,"5,156",,339,3,"52,261","1,982"
68,Norway,"8,846",,249 ,,"8,138",,459,4,"1,632",46,"313,162","57,770"
69,Malaysia,"8,634",+18,121 ,,"8,318",+10,195,2,267,4,"749,950","23,174"
70,Uzbekistan,"7,813",+131,21 ,+1,"5,248",+8,"2,544",25,233,0.6,"1,121,236","33,507"
71,Australia,"7,686",+45,104 ,,"6,979",,603,1,301,4,"2,354,175","92,333"
72,Finland,"7,198",,328 ,,"6,600",,270,1,"1,299",59,"237,500","42,865"
73,DRC,"6,827",+137,157 ,+4,985,+48,"5,685",,76,2,,
74,Senegal,"6,586",+127,105 ,+3,"4,291",+36,"2,190",27,394,6,"77,482","4,630"
75,North Macedonia,"6,080",+174,286 ,+9,"2,315",+79,"3,479",55,"2,918",137,"57,895","27,789"
76,Kenya,"6,070",+259,141 ,,"1,936",,"3,993",18,113,3,"165,196","3,073"
77,El Salvador,"5,934",+207,152 ,+9,"3,557",+110,"2,225",169,915,23,"157,799","24,329"
78,Tajikistan,"5,849",+50,52 ,,"4,448",+57,"1,349",,613,5,,
79,Haiti,"5,777",+55,100 ,+2,706,+65,"4,971",,507,9,"11,332",994
80,Ethiopia,"5,689",+119,98 ,+4,"2,132",+117,"3,459",33,50,0.9,"246,911","2,149"
81,Guinea,"5,291",,30 ,,"4,215",,"1,046",24,403,2,"14,407","1,098"
82,Gabon,"5,209",,40 ,,"2,327",,"2,842",10,"2,341",18,"34,774","15,630"
83,Venezuela,"5,130",,42 ,,"1,327",,"3,761",9,180,1,"1,219,651","42,891"
84,Kyrgyzstan,"4,748",+235,47 ,+1,"2,242",+30,"2,459",30,728,7,"212,112","32,519"
85,Djibouti,"4,643",,52 ,,"4,348",,243,,"4,700",53,"45,998","46,565"
86,Bulgaria,"4,625",,216 ,,"2,475",,"1,934",20,666,31,"132,571","19,079"
87,Luxembourg,"4,217",,110 ,,"3,978",,129,1,"6,738",176,"172,292","275,298"
88,Hungary,"4,142",+4,581 ,+3,"2,685",+4,876,9,429,60,"271,194","28,073"
89,Mauritania,"4,025",,121 ,,"1,344",,"2,560",21,866,26,"13,842","2,978"
90,Bosnia and Herzegovina,"3,935",,178 ,,"2,338",,"1,419",4,"1,199",54,"88,548","26,989"
91,French Guiana,"3,461",,12 ,,"1,249",,"2,200",21,"11,593",40,"8,061","27,002"
92,CAR,"3,429",,45 ,,699,,"2,685",2,710,9,"23,208","4,806"
93,Greece,"3,366",,191 ,,"1,374",,"1,801",11,323,18,"301,144","28,892"
94,Thailand,"3,162",,58 ,,"3,053",,51,1,45,0.8,"468,175","6,707"
95,Costa Rica,"2,979",,14 ,+1,"1,325",,"1,640",5,585,3,"38,500","7,558"
96,Somalia,"2,878",,90  ,,868,,"1,920",2,181,6,,
97,Croatia,"2,691",+67,107 ,,"2,152",,432,,655,26,"76,266","18,577"
98,Mayotte,"2,508",,32 ,,"2,218",,258,8,"9,197",117,"8,800","32,270"
99,Albania,"2,402",+72,55 ,+2,"1,384",+38,963,15,835,19,"22,912","7,962"
100,Cuba,"2,332",+2,86 ,,"2,201",+14,45,,206,8,"166,335","14,685"
101,Maldives,"2,305",,8 ,,"1,875",,422,9,"4,265",15,"47,741","88,343"
102,Nicaragua,"2,170",,74 ,,"1,238",,858,,328,11,,
103,Mali,"2,118",,113 ,,"1,398",,607,,105,6,"12,807",633
104,Madagascar,"2,078",+73,18 ,+2,944,+37,"1,116",24,75,0.7,"20,964",757
105,Sri Lanka,"2,034",+1,11 ,,"1,661",+22,362,1,95,0.5,"101,226","4,727"
106,Equatorial Guinea,"2,001",,32 ,,515,,"1,454",,"1,427",23,"16,000","11,413"
107,Estonia,"1,987",+1,69 ,,"1,818",+6,100,,"1,498",52,"105,676","79,663"
108,South Sudan,"1,942",,36 ,,224,,"1,682",1,174,3,"10,226",914
109,Paraguay,"1,942",,15 ,,"1,045",,882,3,272,2,"65,605","9,199"
110,Palestine,"1,854",+39,4 ,,447,+1,"1,403",,364,0.8,"84,621","16,594"
111,Iceland,"1,836",,10 ,,"1,814",,12,,"5,381",29,"74,424","218,109"
112,Lithuania,"1,815",+2,78 ,,"1,503",,234,16,667,29,"416,739","153,087"
113,Lebanon,"1,740",+21,34 ,+1,"1,153",,553,6,255,5,"128,894","18,884"
114,Slovakia,"1,664",+7,28 ,,"1,461",+6,175,,305,5,"208,904","38,263"
115,Guinea-Bissau,"1,614",,22 ,,317,,"1,275",5,820,11,"1,500",763
116,Slovenia,"1,581",+9,111 ,+2,"1,384",+8,86,,760,53,"100,313","48,252"
117,Zambia,"1,531",,21 ,,"1,233",,277,1,83,1,"52,195","2,841"
118,New Zealand,"1,526",+4,22 ,,"1,484",,20,,305,4,"392,756","78,518"
119,Sierra Leone,"1,410",,59 ,,937,,414,,177,7,,
120,Hong Kong,"1,200",+2,7 ,,"1,104",+9,89,1,160,0.9,"321,498","42,887"
121,Tunisia,"1,168",,50 ,,"1,025",,93,,99,4,"68,542","5,800"
122,Benin,"1,149",+25,16 ,+2,306,+11,827,2,95,1,"56,094","4,629"
123,Latvia,"1,116",+1,30 ,,932,,154,1,592,16,"147,916","78,420"
124,Jordan,"1,111",,9 ,,841,,261,3,109,0.9,"369,560","36,224"
125,Yemen,"1,103",,296 ,,417,,390,,37,10,120,4
126,Cabo Verde,"1,091",,12 ,,568,,511,,"1,963",22,"1,560","2,806"
127,Congo,"1,087",,37 ,,456,,594,,197,7,,
128,Niger,"1,068",+6,67 ,,937,+13,64,,44,3,"6,449",267
129,Malawi,"1,038",,13 ,,260,,765,4,54,0.7,"12,578",658
130,Cyprus,994,,19 ,,824,,151,,823,16,"151,975","125,882"
131,Burkina Faso,941,,53 ,,830,,58,,45,3,,
132,Uruguay,924,,26 ,,818,,80,2,266,7,"64,183","18,477"
133,Georgia,924,+3,15 ,+1,785,+4,124,5,232,4,"101,753","25,507"
134,Rwanda,878,,2 ,,413,,463,,68,0.2,"134,749","10,408"
135,Chad,865,,74 ,,778,,13,,53,5,,
136,Uganda,859,+11, ,,794,+33,65,,19,,"170,789","3,736"
137,Andorra,855,,52 ,,799,,4,,"11,066",673,"3,750","48,535"
138,Mozambique,839,+23,5 ,,225,+2,609,,27,0.2,"27,956",895
139,Eswatini,745,,8 ,,370,,367,5,642,7,"6,551","5,647"
140,Liberia,729,,34 ,,291,,404,,144,7,,
141,Libya,727,,18 ,,171,,538,,106,3,"23,075","3,359"
142,Sao Tome and Principe,713,,13 ,,219,,481,,"3,254",59,"1,773","8,092"
143,Diamond Princess,712,,13 ,,651,,48,4,,,,
144,San Marino,698,,42 ,,656,,0,,"20,571","1,238","5,669","167,074"
145,Jamaica,690,+4,10 ,,552,+13,128,,233,3,"23,583","7,964"
146,Malta,670,,9 ,,636,+1,25,,"1,517",20,"94,048","213,002"
147,Togo,615,,14 ,,396,,205,2,74,2,"29,882","3,611"
148,Channel Islands,571,,47 ,,512,,12,,"3,284",270,"10,255","58,989"
149,Zimbabwe,567,,6 ,,142,,419,,38,0.4,"66,238","4,457"
150,Réunion,520,,2 ,,472,,46,3,581,2,"17,200","19,212"
151,Tanzania,509,,21 ,,183,,305,7,9,0.4,,
152,Montenegro,469,,9 ,,315,,145,,747,14,"13,186","20,995"
153,Suriname,467,+34,11 ,,191,,265,6,796,19,"1,244","2,121"
154,Taiwan,447,,7 ,,435,,5,,19,0.3,"76,209","3,200"
155,Vietnam,355,, ,,330,,25,1,4,,"275,000","2,825"
156,Mauritius,341,,10 ,,326,,5,,268,8,"171,792","135,083"
157,Isle of Man,336,,24 ,,312,,0,,"3,952",282,"6,273","73,775"
158,Myanmar,296,+3,6 ,,216,,74,,5,0.1,"73,278","1,347"
159,Comoros,272,,7 ,,161,,104,,313,8,,
160,Angola,259,,10 ,,81,,168,6,8,0.3,"10,000",304
161,Syria,256,,9 ,,102,,145,,15,0.5,,
162,Martinique,242,,14 ,,98,,130,,645,37,,
163,Guyana,230,,12 ,,109,,109,1,292,15,"2,423","3,081"
164,Mongolia,219,, ,,175,,44,9,67,,"21,959","6,700"
165,Cayman Islands,196,,1 ,,186,,9,,"2,983",15,"22,657","344,787"
166,Eritrea,191,, ,,53,,138,,54,,,
167,Faeroe Islands,187,, ,,187,,0,,"3,827",,"12,974","265,523"
168,Guadeloupe,182,,14 ,,157,,11,2,455,35,"8,239","20,591"
169,Gibraltar,177,, ,,176,,1,,"5,254",,"12,725","377,697"
170,Burundi,170,,1 ,,115,,54,,14,0.08,493,41
171,Namibia,150,+14, ,,22,,128,1,59,,"8,428","3,318"
172,Bermuda,146,,9 ,,134,,3,1,"2,344",145,"10,794","173,317"
173,Brunei ,141,,3 ,,138,,0,,322,7,"29,111","66,549"
174,Cambodia,141,+2, ,,129,,12,1,8,,"35,093","2,099"
175,Trinidad and Tobago,126,,8 ,,109,,9,,90,6,"4,866","3,477"
176,Bahamas,104,,11 ,,87,,6,1,264,28,"2,388","6,073"
177,Monaco,103,,4 ,,95,,4,,"2,625",102,"16,200","412,855"
178,Aruba,101,,3 ,,98,,0,,946,28,"2,343","21,946"
179,Barbados,97,,7 ,,90,,0,1,338,24,"7,675","26,707"
180,Botswana,92,,1 ,,25,,66,1,39,0.4,"36,868","15,683"
181,Liechtenstein,82,,1 ,,81,,0,,"2,151",26,900,"23,605"
182,Sint Maarten,77,,15 ,,62,,0,,"1,796",350,500,"11,663"
183,Bhutan,76,+1, ,,38,,38,,99,,"24,509","31,767"
184,Antigua and Barbuda,65,,3 ,,22,,40,1,664,31,680,"6,944"
185,French Polynesia,60,, ,,60,,0,,214,,"4,649","16,551"
186,Macao,46,, ,,45,,1,,71,,,
187,Gambia,45,+1,2 ,,26,,17,,19,0.8,"2,117",876
188,Saint Martin,42,,3 ,,36,,3,1,"1,086",78,685,"17,720"
189,St. Vincent Grenadines,29,, ,,29,,0,,261,,784,"7,067"
190,Turks and Caicos,28,+12,1 ,,11,,16,,723,26,608,"15,706"
191,Belize,24,,2 ,,18,,4,,60,5,"2,188","5,504"
192,Lesotho,24,, ,,4,,20,,11,,"3,000","1,401"
193,Timor-Leste,24,, ,,24,,0,,18,,"1,568","1,190"
194,Curaçao,23,,1 ,,19,,3,,140,6,"1,080","6,582"
195,Grenada,23,, ,,23,,0,,204,,"4,130","36,705"
196,New Caledonia,21,, ,,21,,0,,74,,"8,260","28,935"
197,Seychelles,20,+9, ,,11,,9,,203,,,
198,Laos,19,, ,,19,,0,,3,,"14,645","2,013"
199,Saint Lucia,19,, ,,19,,0,,103,,"1,619","8,817"
200,Dominica,18,, ,,18,,0,,250,,623,"8,655"
201,Fiji,18,, ,,18,,0,,20,,"4,000","4,462"
202,Saint Kitts and Nevis,15,, ,,15,,0,,282,,447,"8,403"
203,Falkland Islands,13,,  ,,13,,0,,"3,738",,"1,027","295,285"
204,Greenland,13,, ,,13,,0,,229,,"3,341","58,853"
205,Vatican City,12,, ,,12,,0,,"14,981",,,
206,Montserrat,11,,1 ,,10,,0,,"2,204",200,61,"12,220"
207,Papua New Guinea,11,, ,,8,,3,,1,,"5,637",630
208,Western Sahara,10,,1 ,,8,,1,,17,2,,
209,MS Zaandam,9,,2 ,,,,7,,,,,
210,British Virgin Islands,8,,1 ,,7,,0,,265,33,212,"7,013"
211,Caribbean Netherlands,7,, ,,7,,0,,267,,424,"16,170"
212,St. Barth,6,, ,,6,,0,,607,,152,"15,389"
213,Anguilla,3,, ,,3,,0,,200,,180,"11,998"
214,Saint Pierre Miquelon,1,, ,,1,,0,,173,,,
215,China,"83,500",+17,"4,634 ",,"78,451",+7,415,8,58,3,"90,410,000","62,814"
