#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
,North America,"3,038,495","+16,227","166,123",+705,"1,319,084","+3,715","1,553,288","18,842",,,,
,South America,"2,106,781","+4,620","81,299",+92,"1,204,221","+1,413","821,261","12,773",,,,
,Europe,"2,412,005","+10,553","190,688",+221,"1,349,529","+8,145","871,788","6,055",,,,
,Asia,"2,203,414","+38,770","54,684",+812,"1,434,538","+29,951","714,192","19,368",,,,
,Africa,"375,509",+913,"9,534",+15,"181,483",+304,"184,492",907,,,,
,Oceania,"9,322",+49,126,,"8,570",,626,1,,,,
,World,"10,146,247","+71,132","502,469","+1,845","5,498,076","+43,528","4,145,702","57,950","1,302",64.5,,
1,USA,"2,606,492","+9,955","128,201 ",+49,"1,081,531",+94,"1,396,760","15,832","7,875",387,"32,066,305","96,881"
2,Brazil,"1,319,274","+3,333","57,149 ",+46,"715,905",,"546,220","8,318","6,207",269,"2,925,935","13,766"
3,Russia,"634,437","+6,791","9,073 ",+104,"399,087","+5,735","226,277","2,300","4,347",62,"19,044,954","130,504"
4,India,"544,615","+15,038","16,424 ",+321,"319,393","+9,247","208,798","8,944",395,12,"8,227,802","5,963"
5,UK,"311,151",+901,"43,550 ",+36,N/A,N/A,N/A,276,"4,584",642,"9,067,577","133,576"
6,Spain,"295,549",,"28,341 ",,N/A,N/A,N/A,617,"6,321",606,"5,162,909","110,426"
7,Peru,"275,989",,"9,135 ",,"164,024",,"102,830","1,172","8,372",277,"1,625,135","49,297"
8,Chile,"267,766",,"5,347 ",,"228,055",,"34,364","2,090","14,008",280,"1,061,274","55,522"
9,Italy,"240,136",,"34,716 ",,"188,584",,"16,836",97,"3,972",574,"5,277,273","87,282"
10,Iran,"222,669","+2,489","10,508 ",+144,"183,310","+2,649","28,851","2,946","2,651",125,"1,610,869","19,182"
11,Mexico,"212,802","+4,410","26,381 ",+602,"123,797","+3,235","62,624",378,"1,651",205,"551,052","4,274"
12,Pakistan,"202,955","+4,072","4,118 ",+83,"92,624","+5,718","106,213","2,805",919,19,"1,239,153","5,611"
13,Turkey,"195,883",,"5,082 ",,"169,182",,"21,619",984,"2,323",60,"3,231,835","38,324"
14,Germany,"194,705",+16,"9,026 ",,"177,500",,"8,179",364,"2,324",108,"5,412,655","64,604"
15,Saudi Arabia,"182,493","+3,989","1,551 ",+40,"124,755","+2,627","56,187","2,277","5,243",45,"1,546,037","44,418"
16,France,"162,936",,"29,778 ",,"75,649",,"57,509",634,"2,496",456,"1,384,633","21,213"
17,Bangladesh,"137,787","+3,809","1,738 ",+43,"55,727","+1,409","80,322",1,837,11,"733,197","4,452"
18,South Africa,"131,800",,"2,413 ",,"67,094",,"62,293",539,"2,223",41,"1,529,009","25,784"
19,Canada,"103,032",,"8,516 ",,"65,973",,"28,543","2,087","2,730",226,"2,640,315","69,963"
20,Qatar,"94,413",+750,110 ,,"78,702","+1,477","15,601",201,"33,625",39,"349,153","124,351"
21,Colombia,"88,591",,"2,939 ",,"36,273",,"49,379",335,"1,741",58,"707,688","13,910"
22,Sweden,"65,137",,"5,280 ",,N/A,N/A,N/A,171,"6,450",523,"444,607","44,026"
23,Egypt,"63,923",,"2,708 ",,"17,140",,"44,075",41,625,26,"135,000","1,320"
24,Belarus,"61,475",+380,383 ,+6,"45,027",+901,"16,065",89,"6,506",41,"979,800","103,690"
